TotalCoinSupply,TotalCoinsMined,CoinName,Class
0.00026,0.0001088535904090006,MMOCoin,0
0.00021,9.421410033173454e-06,Ketan,0
0.0021,0.002121236262171949,Project Pai,1
0.000366,4.719722337372877e-06,XDNA,0
9.999999999999999e-05,4.5501498543214275e-06,PAXEX,0
2.4999999999999998e-05,5.066562179265316e-06,Azart,1
0.018,0.0010706728512052076,ThunderStake,0
0.001,0.001010112483573715,Kcash,0
9.999999999999999e-05,9.852346277489665e-06,Xchange,1
0.001,0.001010112483573715,Acute Angle Cloud,3
0.0076,0.00427793913676562,CrypticCoin,1
4.9999999999999996e-05,6.856000566804066e-06,Bettex coin,0
8.4e-05,1.3772690350429755e-05,Actinium,1
2.1e-05,1.8174421994387353e-05,Bitcoin SV,1
0.06999999999999999,0.000210624444042156,BitMoney,0
0.0,0.01738395948703501,Junson Ming Chan Coin,0
0.00808,0.001885935471805804,FREDEnergy,1
5.4e-05,3.566923871543799e-05,HerbCoin,0
0.00010512000144,1.5941992995464667e-06,Universal Molecule,1
2.5228799999999998e-05,1.6006929204207734e-05,Lithium,1
0.000105,1.3612153166672831e-05,PirateCash,1
2.1e-05,4.1015611546984553e-07,Exosis,1
0.00012,3.5641492369034067e-05,Block-Logic,1
2.1e-05,1.4926945321837101e-05,Oduwa,0
0.0002628,3.604836854913877e-05,Beam,1
1.9035999e-05,1.8449674225033587e-05,Galilel,0
3.0886e-05,2.540508306779439e-05,Bithereum,1
1.3369999999999999e-05,1.9542239715577493e-06,Crypto Sports,0
0.0748,0.03113743575139919,Credit,0
9.999999999999999e-05,1.3056460389715756e-05,SLICE,1
1.97e-05,7.228541424170134e-07,Dash Platinum,0
8.4e-05,2.0754263081976124e-05,Nasdacoin,0
0.0005,0.00020094986909566676,Beetle Coin,0
0.005,0.0009054256011906719,Titan Coin,0
0.00042,1.557612963693045e-05,Award,0
6.4e-05,5.2822616985570724e-05,BLAST,1
2.1e-06,1.1820846886525212e-06,Bitcoin Rhodium,1
0.000168,8.546870974887076e-05,GlobalToken,1
3e-05,2.401635291295234e-05,Insane Coin,0
0.001,0.001010112483573715,ALAX,0
0.034999999999999996,0.015473799682463152,LiteDoge,0
0.09809999999999999,5.612693724123281e-05,SolarCoin,1
0.0,0.00024502709974477395,TruckCoin,0
0.004,0.0038633621961948403,UFO Coin,1
0.00019999999999999998,3.5728770966557666e-06,OrangeCoin,0
0.007,2.359294387236469e-05,BlakeCoin,1
5.4256118999999996e-05,2.0784570290127343e-05,BitstarCoin,0
2.1e-05,4.436632647507646e-06,NeosCoin,0
0.0,9.72855332874592e-06,HyperCoin,0
0.0005,0.0004407662194377845,PinkCoin,0
0.001,0.0007881005585632962,Crypto Escudo,1
0.0105,0.0009906501697518394,AudioCoin,0
0.00018999999999999998,0.01812114093883431,IncaKoin,0
0.001,0.0004992386451885693,Piggy Coin,0
4.2e-05,2.3219342578744854e-05,Crown Coin,1
1.5e-05,6.060670913522422e-05,Genstake,0
0.049999999999999996,0.029883158141660888,SmileyCoin,1
0.00039999999999999996,0.00040840509399131834,XiaoMiCoin,0
0.000105,7.403939145513336e-05,Groestlcoin,1
0.000208,0.00020340058699908338,CapriCoin,0
0.00015999999999999999,0.00010466971265911428, ClubCoin,0
9e-06,3.859845763729668e-06,Radium,0
4.9999999999999996e-06,5.1036075982334715e-06,Bata,1
0.000182,7.038909888132847e-05,Pakcoin,1
1.6504333e-05,1.707188620667946e-05,Creditbit ,0
0.000105,7.54311861724345e-05,OKCash,0
0.0001599184,0.00012122572346119352,Lisk,0
0.010008835635,0.010101372369569069,HiCoin,0
0.0003,0.000254553934587528,WhiteCoin,0
6.0168145e-05,1.131672502832021e-06,FriendshipCoin,0
2.8e-06,3.366584340752429e-06,JoinCoin,1
1.2e-07,1.4215894737644412e-07,Triangles Coin,0
0.0021,0.00010101121017516,Vollar,1
0.0,0.0010308647636696072,EOS,0
